"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.rasgo","p.GS.rasgo","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.black","p.MM.black","MM.brown","p.MM.brown"
"MMT00045533","MMT00045533","Sp4",20688,"black",0.187573629148727,0.0299855739868896,-0.27024187764035,0.00158887991385435,0.543061352730593,1.2090893771294e-11,-0.304564060123414,0.000346308854599674,-0.102923960979241,0.236644858799632,0.169569120119617,0.050145156219021,0.252952694152572,0.0031899119488262,-0.0351264370614699,0.686997630882297,-0.107596785678485,0.215920113870327,0.773883574102117,5.82086006898747e-28,-0.3196484821001,0.000166684769101976
"MMT00020368","MMT00020368","Hmgb1",15289,"black",0.169622545562539,0.0500718232533114,-0.261576996697519,0.00226609074326066,0.404327740687933,1.26545587704141e-06,-0.166809556690256,0.0540557886669866,0.0547211160375728,0.530017699822373,0.426013837558905,2.86747405186093e-07,0.24829378761445,0.00381918298669947,-0.0555750966680778,0.523607567607164,-0.148176498204425,0.0875171410193467,0.897730037527403,7.8298710155232e-49,-0.196560779473447,0.0228285211719683
"MMT00006263","MMT00006263","Jarid1a",214899,"black",0.153973502204732,0.0756864411768826,-0.258250381858208,0.00258904703690483,0.487518357540912,2.31354382797084e-09,-0.305396192205259,0.00033295239305339,0.00208473608582826,0.980927189354543,0.247034974484794,0.00400733377962056,0.158356343197809,0.0676272637410017,-0.0598062574280571,0.492438018822943,-0.0799843628937575,0.358260567828595,0.837226657164174,2.0694398700455e-36,-0.34017967268089,5.78078360354258e-05
"MMT00074235","MMT00074235","Terf2",21750,"black",0.139943431751981,0.106802741618641,-0.154365826411824,0.0749348361046293,0.529123915311493,4.94713420630858e-11,-0.370143528381973,1.07275682433265e-05,-0.0213136422231139,0.806890412232073,0.13177941867865,0.129066634991809,0.112376768834844,0.196091657450173,-0.0292635724771238,0.737135859226751,0.0172348052464694,0.843316674835385,0.827338128591571,7.18918702932295e-35,-0.416919892606302,5.41231505915972e-07
"MMT00046069","MMT00046069",NA,NA,"black",0.130672396734724,0.132341682921758,-0.365280038719091,1.42651288982577e-05,0.443095407617034,8.2593639900117e-08,-0.133675070087809,0.123603494311548,0.0127834559901166,0.883448683188866,0.567897212017598,8.31197291309164e-13,0.246151604093387,0.00414429230322098,0.0107861066702917,0.901559104296977,0.0356290349924025,0.682758552679787,0.908894493934786,5.53591889326233e-52,-0.103434769948356,0.234313950470177
"MMT00044003","MMT00044003",NA,NA,"black",0.129255706696765,0.136625231489139,-0.381283721857767,5.48731223752425e-06,0.532483774142265,3.54318149591286e-11,-0.157020241857768,0.0700065393749941,-0.0908971740037316,0.296246195373565,0.484382339199231,3.02896112259429e-09,0.226190352341158,0.00858979691899226,0.0955497021909229,0.272108316384337,-0.0321372303947884,0.712407030083279,0.821131961629563,5.95059074983802e-34,-0.0662263450463362,0.447088239916043
"MMT00048203","MMT00048203",NA,383916,"black",0.10237862749132,0.239151141367212,-0.297279046695877,0.000486252010072396,0.413836348545418,6.68505326226929e-07,-0.179092514622342,0.0384061041902772,-0.00270256161771871,0.975276418179968,0.527287442897679,5.92812849146904e-11,0.227496934437123,0.00820410371283454,0.0802887615165498,0.356428343177655,0.00225250105997728,0.97939266785935,0.889262294838833,1.12134852686171e-46,-0.175727869410413,0.0422578102328952
"MMT00019519","MMT00019519",NA,NA,"black",0.0947749193245672,0.276032785359032,-0.334943649914676,7.62742763522443e-05,0.46449134722918,1.5728545313519e-08,-0.155602957883507,0.0726041526612915,-0.023319465891809,0.789122926614262,0.565700797437129,1.06282589292454e-12,0.23775017563603,0.00567220436369507,-0.00258621578320802,0.976340458079552,-0.0149373572380305,0.863986300745742,0.936448910159424,6.56764803659106e-62,-0.132751957629888,0.126241123752816
"MMT00079636","MMT00079636",NA,NA,"black",0.093942029828233,0.280293944757149,-0.323807003152777,0.00013531854214611,0.424599837042537,3.16904989020518e-07,-0.176686179651525,0.0411292155327399,0.00665311795594626,0.939184627148463,0.566854436833628,9.3430140267528e-13,0.233516701972108,0.00661806936408069,-0.0124519410512739,0.886450697389905,-0.00918857669905703,0.91608127984284,0.955068359546425,1.3983735821053e-71,-0.175986444504472,0.0419507663176782
"MMT00020073","MMT00020073",NA,NA,"black",0.0914172440127076,0.293479811726294,-0.321146573727761,0.000154678707647791,0.427518869475536,2.57665421337385e-07,-0.163619469930628,0.0588866122771691,0.00573341850416451,0.947578563295566,0.574322859586101,4.0069261583734e-13,0.253745569393381,0.00309264883043486,0.0159682149826204,0.854699647718397,-0.0346444936070987,0.691071663172456,0.956387747552552,2.04212614810792e-72,-0.164645083670467,0.0572962817303554
